subject_id,time,Acidovorax,Acinetobacter,Aeromonas,Aliarcobacter,Aquabacterium_A,Bacteroides,Brachymonas,Brevefilum,Brevundimonas,Cloacibacterium,Comamonas,Competibacter_A,Enterobacter,Fermentibacter,Flavobacterium,Giesbergeria,Hydrogenophaga,JAGOYM01,Janthinobacterium,Kaistella,Lactococcus_A,Lenti-01,Microthrix,Moraxella_A,Neisseria,Novosphingobium,Ottowia,Paracoccus,Phocaeicola,Prevotella,Propionivibrio,Pseudomonas_E,Pseudoxanthomonas,Pseudoxanthomonas_A,Psychrobacter,Rubrivivax,Streptococcus,Telluria,Thauera,Thermomonas,Thiothrix,Tolumonas,Trichococcus,UBA1413
Budapest,69,0.10946109,0.01892082,0.001375523,0.018756239,0.000379183,0.000761832,0.023362063,8.52163e-06,0.001435809,0.006947092,0.06398463,9.65985e-05,0.000444688,2.73119e-06,0.00474767,0.01400094,0.002490438,0.007468844,0.001343257,0.002539307,0.000538656,0.005461472,0.001742067,0.001100578,0.026905525,0.002184333,0.1256851,0.00357878,0.001323881,0.000912401,0.018336214,0.005629589,0.01642722,0.021454917,0.005251623,0.000711916,0.010771487,0.000555939,0.01684723,0.016366536,0.002041957,0.000217659,0.023070496,4.20459e-06
Budapest,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Budapest,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Budapest,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Budapest,73,0.066955015,0.036668327,0.003285437,0.008981862,0.000248165,0.00148426,0.04050436,1.25231e-05,0.005012386,0.009234836,0.021745691,0.000163291,0.001063828,3.85825e-06,0.003715992,0.007091111,0.001171413,0.002359976,0.00201224,0.002328995,0.000251093,0.008459341,7.85331e-05,0.016176485,0.043695666,0.001735591,0.073166326,0.006438301,0.000774973,0.00058242,0.008982323,0.012631735,0.013981456,0.048366036,0.001682515,0.000780664,0.007769254,0.001189906,0.015877437,0.016467627,0.000447961,0.000707167,0.003430729,1.77427e-06
Budapest,74,0.07008853,0.020938981,0.009156186,0.02534875,0.000140512,0.001225608,0.031720076,1.30326e-05,0.002158204,0.012272386,0.021558177,0.002520808,0.000854731,7.45393e-06,0.002787907,0.010670679,0.001213535,0.007696451,0.002048334,0.002060411,0.000254057,0.007593532,1.78204e-05,0.004646022,0.08681309,0.001907754,0.05423029,0.003838625,0.001806427,0.001328414,0.02299734,0.02563686,0.018808821,0.030376188,0.00070027,0.00092527,0.008407562,0.000857993,0.022451587,0.015745414,0.000695886,0.002039812,0.003808237,2.78082e-06
Budapest,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Budapest,77,0.06782056,0.0383875,0.008237394,0.02544491,0.001191671,0.001108978,0.015287426,6.69672e-06,0.000900362,0.017185828,0.090259366,0.007269967,0.002665516,1.07766e-05,0.004469167,0.004714351,0.000346588,0.002280733,0.000728605,0.002793813,0.000494206,0.008512015,0.006121302,0.002815838,0.051865853,0.002263424,0.038928133,0.002749556,0.003489263,0.008959962,0.012566148,0.03888403,0.010215682,0.01240648,0.001076537,0.001986266,0.015071722,0.000699066,0.016242119,0.012780304,0.000324767,0.001065442,0.005592528,1.86837e-06
Budapest,78,0.06530161,0.018129526,0.005099118,0.032053985,0.000180063,0.001426665,0.014756465,7.81505e-06,0.001462937,0.033469398,0.014728868,0.00026608,0.000724237,4.40191e-06,0.004948574,0.005209389,0.000989462,0.002747068,0.001376803,0.007019606,0.000184899,0.009616142,2.90376e-05,0.003879633,0.021043235,0.001340817,0.06420551,0.002194427,0.004360887,0.001679273,0.031775355,0.16896178,0.01307143,0.007390347,0.000620933,0.000241452,0.015009526,0.000589315,0.020091843,0.009279642,0.000899201,0.001225239,0.010018413,1.63389e-06
Budapest,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
